지역,선거인수,투표수,한나라당 이회창,새정치국민회의 김대중,국민신당 이인제,건설국민승리21 권영길,공화당 허경영,바른정치연합 김한식,통일한국당 신정일,계,무효,기권
충남 홍성군,71207,54791,16104.0,25802.0,10420.0,385.0,146.0,234.0,292.0,53383,1408,16416
충남 청양군,32364,25037,5355.0,12221.0,6093.0,164.0,113.0,154.0,163.0,24263,774,7327
충남 예산군,77158,60161,25339.0,24774.0,7773.0,339.0,148.0,232.0,355.0,58960,1201,16997
충남 서산시,102317,78288,16125.0,41122.0,17760.0,850.0,212.0,346.0,242.0,76657,1631,24029
충남 태안군,49981,37234,6637.0,19103.0,9734.0,221.0,157.0,224.0,223.0,36299,935,12747
충남 당진군,88999,67652,12977.0,35299.0,16786.0,479.0,190.0,230.0,242.0,66203,1449,21347
전북 전주시완산구,208533,180270,7823.0,165974.0,2870.0,666.0,73.0,304.0,108.0,177818,2452,28263
전북 전주시덕진구,179966,155782,6382.0,143578.0,2686.0,701.0,45.0,250.0,91.0,153733,2049,24184
전북 군산시갑,91191,77728,3968.0,69987.0,1989.0,212.0,44.0,204.0,116.0,76520,1208,13463
전북 군산시을,101649,86598,4998.0,77140.0,2635.0,316.0,34.0,191.0,91.0,85405,1193,15051
전북 익산시갑,102037,87981,3598.0,80855.0,1717.0,296.0,45.0,223.0,91.0,86825,1156,14056
전북 익산시을,121569,105086,4683.0,95155.0,2680.0,486.0,61.0,240.0,106.0,103411,1675,16483
전북 정읍시,107052,90585,3123.0,83031.0,1534.0,232.0,83.0,433.0,222.0,88658,1927,16467
전북 남원시,76061,65145,3323.0,58354.0,1299.0,130.0,74.0,442.0,157.0,63779,1366,10916
전북 김제시,90905,77046,3649.0,69454.0,1608.0,212.0,71.0,342.0,174.0,75510,1536,13859
전북 완주군,63103,53604,2478.0,47783.0,1322.0,345.0,76.0,347.0,101.0,52452,1152,9499
전북 진안군,27752,23255,1245.0,20310.0,652.0,68.0,28.0,276.0,91.0,22670,585,4497
전북 무주군,22974,19328,1262.0,16200.0,885.0,48.0,39.0,186.0,125.0,18745,583,3646
전북 장수군,22073,18833,818.0,16730.0,517.0,54.0,30.0,168.0,63.0,18380,453,3240
전북 임실군,31406,26570,1145.0,23486.0,691.0,90.0,59.0,331.0,94.0,25896,674,4836
전북 순창군,28441,24190,947.0,21762.0,405.0,63.0,42.0,242.0,82.0,23543,647,4251
전북 고창군,58032,49032,1659.0,44659.0,728.0,145.0,72.0,513.0,122.0,47898,1134,9000
전북 부안군,58793,49157,2013.0,44499.0,819.0,125.0,67.0,289.0,134.0,47946,1211,9636
전남 목포시,163306,142786,2782.0,136421.0,1215.0,242.0,45.0,164.0,81.0,140950,1836,20520
전남 여수시,124371,106755,3126.0,100441.0,1397.0,172.0,39.0,149.0,72.0,105396,1359,17616
전남 순천시갑,75352,66739,1769.0,62844.0,755.0,93.0,38.0,160.0,81.0,65740,999,8613
전남 순천시을,99435,87636,2429.0,82158.0,1208.0,157.0,49.0,203.0,94.0,86298,1338,11799
전남 나주시,83411,74780,1520.0,70855.0,630.0,103.0,56.0,257.0,136.0,73557,1223,8631
전남 여천시,50285,44625,2022.0,40729.0,1019.0,110.0,19.0,75.0,43.0,44017,608,5660
전남 여천군,45986,39380,952.0,36865.0,402.0,43.0,45.0,176.0,92.0,38575,805,6606
전남 광양시,85278,75289,6093.0,63980.0,3715.0,260.0,46.0,130.0,86.0,74310,979,9989
전남 담양군,44512,39419,897.0,37035.0,392.0,62.0,36.0,206.0,71.0,38699,720,5093
전남 장성군,43130,37283,1234.0,34398.0,734.0,47.0,32.0,160.0,58.0,36663,620,5847
전남 곡성군,31124,27487,711.0,25459.0,321.0,43.0,37.0,184.0,77.0,26832,655,3637
전남 구례군,26096,22376,818.0,20580.0,323.0,34.0,20.0,94.0,35.0,21904,472,3720
전남 고흥군,78180,68039,2189.0,63037.0,732.0,65.0,61.0,326.0,136.0,66546,1493,10141
전남 보성군,48856,41920,1868.0,38167.0,527.0,56.0,39.0,215.0,127.0,40999,921,6936
전남 화순군,54728,48273,872.0,45731.0,384.0,63.0,35.0,212.0,77.0,47374,899,6455
전남 장흥군,41590,35845,1004.0,33215.0,383.0,86.0,65.0,199.0,108.0,35060,785,5745
전남 강진군,38121,32563,1276.0,29656.0,524.0,58.0,27.0,162.0,95.0,31798,765,5558
전남 완도군,49902,44391,938.0,41818.0,414.0,41.0,33.0,175.0,79.0,43498,893,5511
전남 해남군,72022,63190,2468.0,57847.0,655.0,99.0,72.0,324.0,180.0,61645,1545,8832
전남 진도군,32181,27846,1080.0,25378.0,321.0,44.0,32.0,194.0,94.0,27143,703,4335
전남 영암군,46504,40091,1638.0,36455.0,636.0,116.0,33.0,141.0,113.0,39132,959,6413
전남 무안군,52280,45822,1075.0,43079.0,365.0,63.0,48.0,160.0,65.0,44855,967,6458
